time,H_VV_out_alpha,H_VV_out_beta
111.0,-9.81455481532224e+18,-9.81455481532224e+18
112.0,-9.90297422807289e+18,-9.90297422807289e+18
113.0,-9.99139364082354e+18,-9.99139364082354e+18
114.0,-1.0079813053574191e+19,-1.0079813053574191e+19
115.0,-1.0168232466324842e+19,-1.0168232466324842e+19
116.0,-1.0256651879075494e+19,-1.0256651879075494e+19
117.0,-1.0345071291826143e+19,-1.0345071291826143e+19
118.0,-1.0433490704576795e+19,-1.0433490704576795e+19
119.0,-1.0521910117327446e+19,-1.0521910117327446e+19
120.0,-1.0610329530078095e+19,-1.0610329530078095e+19
121.0,-1.0698748942828747e+19,-1.0698748942828747e+19
122.0,-1.0787168355579398e+19,-1.0787168355579398e+19
123.0,-1.087558776833005e+19,-1.087558776833005e+19
124.0,-1.0964007181080699e+19,-1.0964007181080699e+19
125.0,-1.105242659383135e+19,-1.105242659383135e+19
126.0,-1.1140846006582002e+19,-1.1140846006582002e+19
127.0,-1.122926541933265e+19,-1.122926541933265e+19
128.0,-1.1317684832083302e+19,-1.1317684832083302e+19
129.0,-1.1406104244833954e+19,-1.1406104244833954e+19
130.0,-1.1494523657584605e+19,-1.1494523657584605e+19
131.0,-1.1582943070335255e+19,-1.1582943070335255e+19
132.0,-1.1671362483085906e+19,-1.1671362483085906e+19
133.0,-1.1759781895836557e+19,-1.1759781895836557e+19
134.0,-1.1848201308587207e+19,-1.1848201308587207e+19
135.0,-1.1936620721337858e+19,-1.1936620721337858e+19
136.0,-1.202504013408851e+19,-1.202504013408851e+19
137.0,-1.211345954683916e+19,-1.211345954683916e+19
138.0,-1.220187895958981e+19,-1.220187895958981e+19
139.0,-1.2290298372340462e+19,-1.2290298372340462e+19
140.0,-1.2378717785091113e+19,-1.2378717785091113e+19
141.0,-1.2467137197841762e+19,-1.2467137197841762e+19
142.0,-1.2555556610592414e+19,-1.2555556610592414e+19
143.0,-1.2643976023343065e+19,-1.2643976023343065e+19
144.0,-1.2732395436093716e+19,-1.2732395436093716e+19
145.0,-1.2820814848844366e+19,-1.2820814848844366e+19
146.0,-1.2909234261595017e+19,-1.2909234261595017e+19
147.0,-1.2997653674345669e+19,-1.2997653674345669e+19
148.0,-1.3086073087096318e+19,-1.3086073087096318e+19
149.0,-1.317449249984697e+19,-1.317449249984697e+19
150.0,-1.326291191259762e+19,-1.326291191259762e+19
151.0,-1.3351331325348272e+19,-1.3351331325348272e+19
152.0,-1.3439750738098921e+19,-1.3439750738098921e+19
153.0,-1.3528170150849573e+19,-1.3528170150849573e+19
154.0,-1.3616589563600224e+19,-1.3616589563600224e+19
155.0,-1.3705008976350874e+19,-1.3705008976350874e+19
156.0,-1.3793428389101525e+19,-1.3793428389101525e+19
157.0,-1.3881847801852176e+19,-1.3881847801852176e+19
158.0,-1.3970267214602828e+19,-1.3970267214602828e+19
159.0,-1.4058686627353477e+19,-1.4058686627353477e+19
160.0,-1.4147106040104129e+19,-1.4147106040104129e+19
161.0,-1.423552545285478e+19,-1.423552545285478e+19
162.0,-1.432394486560543e+19,-1.432394486560543e+19
163.0,-1.441236427835608e+19,-1.441236427835608e+19
164.0,-1.4500783691106732e+19,-1.4500783691106732e+19
165.0,-1.4589203103857383e+19,-1.4589203103857383e+19
166.0,-1.4677622516608033e+19,-1.4677622516608033e+19
167.0,-1.4766041929358684e+19,-1.4766041929358684e+19
168.0,-1.4854461342109336e+19,-1.4854461342109336e+19
169.0,-1.4942880754859985e+19,-1.4942880754859985e+19
170.0,-1.5031300167610636e+19,-1.5031300167610636e+19
171.0,-1.5119719580361288e+19,-1.5119719580361288e+19
172.0,-1.520813899311194e+19,-1.520813899311194e+19
173.0,-1.5296558405862588e+19,-1.5296558405862588e+19
174.0,-1.538497781861324e+19,-1.538497781861324e+19
175.0,-1.5473397231363891e+19,-1.5473397231363891e+19
176.0,-1.556181664411454e+19,-1.556181664411454e+19
177.0,-1.5650236056865192e+19,-1.5650236056865192e+19
178.0,-1.5738655469615843e+19,-1.5738655469615843e+19
179.0,-1.5827074882366493e+19,-1.5827074882366493e+19
180.0,-1.5915494295117144e+19,-1.5915494295117144e+19
181.0,-1.6003913707867795e+19,-1.6003913707867795e+19
182.0,-1.6092333120618447e+19,-1.6092333120618447e+19
183.0,-1.6180752533369096e+19,-1.6180752533369096e+19
184.0,-1.6269171946119748e+19,-1.6269171946119748e+19
185.0,-1.6357591358870399e+19,-1.6357591358870399e+19
186.0,-1.6446010771621048e+19,-1.6446010771621048e+19
187.0,-1.65344301843717e+19,-1.65344301843717e+19
188.0,-1.6622849597122351e+19,-1.6622849597122351e+19
189.0,-1.6711269009873002e+19,-1.6711269009873002e+19
190.0,-1.6799688422623652e+19,-1.6799688422623652e+19
191.0,-1.6888107835374303e+19,-1.6888107835374303e+19
192.0,-1.6976527248124955e+19,-1.6976527248124955e+19
193.0,-1.7064946660875604e+19,-1.7064946660875604e+19
194.0,-1.7153366073626255e+19,-1.7153366073626255e+19
195.0,-1.7241785486376907e+19,-1.7241785486376907e+19
196.0,-1.7330204899127558e+19,-1.7330204899127558e+19
197.0,-1.7418624311878207e+19,-1.7418624311878207e+19
198.0,-1.7507043724628859e+19,-1.7507043724628859e+19
199.0,-1.759546313737951e+19,-1.759546313737951e+19
200.0,-1.768388255013016e+19,-1.768388255013016e+19
201.0,-1.777230196288081e+19,-1.777230196288081e+19
202.0,-1.7860721375631462e+19,-1.7860721375631462e+19
203.0,-1.7949140788382114e+19,-1.7949140788382114e+19
204.0,-1.8037560201132763e+19,-1.8037560201132763e+19
205.0,-1.8125979613883415e+19,-1.8125979613883415e+19
206.0,-1.8214399026634066e+19,-1.8214399026634066e+19
207.0,-1.8302818439384715e+19,-1.8302818439384715e+19
208.0,-1.8391237852135367e+19,-1.8391237852135367e+19
209.0,-1.847965726488602e+19,-1.847965726488602e+19
210.0,-1.856807667763667e+19,-1.856807667763667e+19
211.0,-1.865649609038732e+19,-1.865649609038732e+19
212.0,-1.874491550313797e+19,-1.874491550313797e+19
