environment | time (second),inlet | u_mmHg (dimensionless),inlet | v_mm3_s (mm3_per_s),PV1 | u_mmHg (dimensionless),PV1 | v_mm3_s (mm3_per_s),PV2 | u_mmHg (dimensionless),PV2 | v_mm3_s (mm3_per_s),V1 | u_mmHg (dimensionless),V1 | v_mm3_s (mm3_per_s),V2 | u_mmHg (dimensionless),V2 | v_mm3_s (mm3_per_s),VV_junc1 | H_VV_out_alpha (dimensionless),VV_junc1 | H_VV_out_beta (dimensionless),VV_junc1 | u_mmHg (dimensionless),VV_junc1 | v_mm3_s (mm3_per_s)
10,49.9395185533412,6.68346120062054e-06,49.827394851013,3.34172986719186e-06,49.8273948510195,3.34172985512395e-06,49.8258828147646,3.34173060796527e-06,49.8258828147761,3.34173059858442e-06,0.449999972677817,0.449999972004717,49.87903710667,6.68346120133174e-06
11,49.9395184402875,6.68347359988266e-06,49.8273945290318,3.34173610314301e-06,49.8273945290505,3.34173609440418e-06,49.8258824899449,3.34173680505059e-06,49.8258824899802,3.34173680016462e-06,0.449999981844698,0.449999981357282,49.8790368805638,6.6834736005394e-06
12,49.939518343737,6.68348420964312e-06,49.8273942538774,3.34174148284945e-06,49.8273942538885,3.34174148035914e-06,49.8258822123855,3.34174210795843e-06,49.8258822124074,3.34174210637202e-06,0.449999989888557,0.449999989749658,49.879036687464,6.68348421019436e-06
13,49.9395182613096,6.68349328885584e-06,49.827394018801,3.34174610710855e-06,49.8273940187992,3.34174610753662e-06,49.8258819752638,3.34174664718556e-06,49.8258819752611,3.34174664574361e-06,0.449999996516141,0.449999996492265,49.8790365226104,6.68349328934892e-06
14,49.9395181909473,6.68350105908168e-06,49.8273938179791,3.3417500662797e-06,49.8273938179725,3.3417500654518e-06,49.8258817726914,3.34175053270492e-06,49.8258817726791,3.34175052988781e-06,0.450000001614024,0.450000001567848,49.879036381887,6.68350105951595e-06
15,49.9395181308827,6.68350770970538e-06,49.8273936464103,3.34175345761493e-06,49.8273936464081,3.34175345453542e-06,49.8258815996246,3.34175385803446e-06,49.8258815996204,3.34175385468188e-06,0.450000005341856,0.450000005170094,49.8790362617589,6.68350771007954e-06
16,49.9395180796028,6.6835134025604e-06,49.8273934998202,3.34175636185459e-06,49.8273934998241,3.34175635840083e-06,49.8258814517554,3.34175670376826e-06,49.8258814517627,3.34175670136978e-06,0.450000007813979,0.450000007621344,49.8790361592001,6.68351340288154e-06
17,49.9395180358158,6.68351827598731e-06,49.8273933745583,3.34175884753871e-06,49.8273933745635,3.34175884565058e-06,49.8258813254033,3.34175913958702e-06,49.8258813254132,3.34175913860211e-06,0.450000009287523,0.450000009182211,49.8790360716268,6.68351827626157e-06
18,49.9395179984196,6.6835224482513e-06,49.8273932675052,3.3417609755136e-06,49.8273932675072,3.34176097525149e-06,49.8258812174215,3.34176122519519e-06,49.8258812174256,3.34176122493431e-06,0.450000010036009,0.450000010021389,49.8790359968351,6.68352244848393e-06
19,49.939517966475,6.68352602047922e-06,49.8273931759975,3.34176279789293e-06,49.8273931759963,3.34176279810126e-06,49.8258811251212,3.34176301123537e-06,49.8258811251191,3.34176301084539e-06,0.450000010295067,0.450000010283447,49.8790359329466,6.68352602067989e-06
20,49.9395179391819,6.68352907916053e-06,49.8273930977637,3.34176435869189e-06,49.827393097762,3.34176435835413e-06,49.8258810462096,3.34176454064033e-06,49.8258810462065,3.34176453988635e-06,0.450000010179481,0.450000010160643,49.8790358783608,6.68352907933058e-06
21,49.9395179158581,6.68353169827769e-06,49.8273930308678,3.34176569513672e-06,49.8273930308677,3.34176569427707e-06,49.8258809787338,3.3417658501154e-06,49.8258809787336,3.34176584932721e-06,0.45000000981597,0.450000009768022,49.8790358317138,6.68353169842067e-06
22,49.9395178959227,6.68353394111708e-06,49.8273929736587,3.34176683920592e-06,49.82739297366,3.34176683842302e-06,49.8258809210293,3.34176697128909e-06,49.8258809210317,3.34176697082309e-06,0.450000009266487,0.45000000922282,49.8790357918434,6.68353394124006e-06
23,49.9395178788803,6.68353586183509e-06,49.8273929247274,3.34176781865102e-06,49.8273929247286,3.34176781835782e-06,49.8258808716751,3.34176793140421e-06,49.8258808716774,3.34176793127941e-06,0.45000000860751,0.450000008591157,49.8790357577588,6.68353586193916e-06
24,49.9395178643085,6.68353750676821e-06,49.8273928828703,3.34176865742016e-06,49.8273928828705,3.3417686574722e-06,49.825880829457,3.34176875375328e-06,49.8258808294575,3.34176875373841e-06,0.45000000790635,0.450000007903448,49.8790357286155,6.68353750685674e-06
25,49.9395178518472,6.68353891557449e-06,49.8273928470598,3.34176937584824e-06,49.8273928470593,3.34176937590879e-06,49.8258807933378,3.34176945814607e-06,49.825880793337,3.34176945804551e-06,0.450000007199379,0.450000007196002,49.8790357036931,6.68353891564857e-06
26,49.9395178411891,6.683540122193e-06,49.8273928164184,3.34176999121235e-06,49.827392816418,3.34176999110404e-06,49.8258807624323,3.34177006145654e-06,49.8258807624315,3.34177006126433e-06,0.450000006505736,0.450000006499695,49.8790356823771,6.683540122257e-06
27,49.939517832072,6.68354115568168e-06,49.8273927901972,3.34177051820917e-06,49.8273927901973,3.34177051797766e-06,49.825880735985,3.34177057815297e-06,49.8258807359851,3.34177057797916e-06,0.45000000584383,0.450000005830917,49.879035664143,6.68354115573584e-06
28,49.9395178242721,6.68354204090773e-06,49.8273927677565,3.34177096950351e-06,49.8273927677569,3.34177096933958e-06,49.825880713351,3.3417710206856e-06,49.8258807133517,3.34177102060673e-06,0.45000000521567,0.450000005206527,49.8790356485433,6.6835420409534e-06
29,49.9395178175982,6.68354279916412e-06,49.8273927485497,3.34177135598875e-06,49.8273927485499,3.341771355967e-06,49.8258806939789,3.34177139974904e-06,49.8258806939794,3.34177139974437e-06,0.45000000463133,0.450000004630117,49.8790356351957,6.68354279920459e-06
30,49.9395178118872,6.68354344868113e-06,49.827392732109,3.34177168705676e-06,49.827392732109,3.34177168709008e-06,49.825880677397,3.34177172448004e-06,49.825880677397,3.34177172448281e-06,0.450000004099489,0.45000000409763,49.8790356237738,6.68354344871568e-06
31,49.9395178069997,6.68354400506742e-06,49.827392718035,3.34177197067374e-06,49.8273927180349,3.3417719706785e-06,49.8258806632021,3.34177200266756e-06,49.8258806632018,3.34177200263946e-06,0.450000003615261,0.450000003614996,49.8790356139988,6.68354400509634e-06
