variable,dataset,rmse,range_truth,nrmse_pct,n_samples
PV1__u_mmHg,generated,0.0009981247751158183,0.029839441963197544,3.344984723061694,1000
PV1__v_mm3_s,generated,1.8758456522642367e-12,3.3417713975065763e-06,5.6133272720685715e-05,1000
PV2__u_mmHg,generated,4.970251652874854e-08,0.04350667998249946,0.0001142411154993701,1000
PV2__v_mm3_s,generated,1.4865973230846805e-12,1.7385208287386001e-06,8.55093191010714e-05,1000
V1__u_mmHg,generated,4.598976849421075e-08,0.07588781147750012,6.060231228020879e-05,1000
V1__v_mm3_s,generated,9.891774873067736e-13,3.341757861714773e-06,2.9600513509353784e-05,1000
V2__u_mmHg,generated,4.884431259840709e-08,0.042752489013501815,0.00011424905011491002,1000
V2__v_mm3_s,generated,1.0787989385394037e-12,1.7385217923209495e-06,6.205265549758757e-05,1000
VV_junc1__H_VV_out_alpha,generated,9.814646853196607e-08,0.047185979937102995,0.0002079992164257081,1000
VV_junc1__H_VV_out_beta,generated,6.97665785979589e-07,0.6306148177535449,0.00011063263442887395,1000
VV_junc1__u_mmHg,generated,3.6583656439579925e-08,0.03129245124860347,0.00011690888690355503,1000
inlet__u_mmHg,generated,1.8289814590787445e-08,0.015646225590600693,0.00011689601741249889,1000
PV1__u_mmHg,iterative,0.0010110059334620986,0.029839441963197544,3.388152951080728,1000
PV1__v_mm3_s,iterative,2.76872855753199e-09,3.3417713975065763e-06,0.08285212326605718,1000
PV2__u_mmHg,iterative,0.00033040631501595586,0.04350667998249946,0.7594381257058953,1000
PV2__v_mm3_s,iterative,1.3757182660966099e-08,1.7385208287386001e-06,0.7913153776217768,1000
V1__u_mmHg,iterative,7.881158916370942e-05,0.07588781147750012,0.10385276321623291,1000
V1__v_mm3_s,iterative,2.768592340672002e-09,3.341757861714773e-06,0.08284838265485041,1000
V2__u_mmHg,iterative,0.0003264310826090643,0.042752489013501815,0.7635370247238071,1000
V2__v_mm3_s,iterative,1.3757002690336985e-08,1.7385217923209495e-06,0.7913045870981695,1000
VV_junc1__H_VV_out_alpha,iterative,8.452237112632005e-05,0.047185979937102995,0.17912602692364332,1000
VV_junc1__H_VV_out_beta,iterative,0.0008191757101078728,0.6306148177535449,0.12990111983509095,1000
VV_junc1__u_mmHg,iterative,0.00023674249770398996,0.03129245124860347,0.7565482672584027,1000
inlet__u_mmHg,iterative,0.00011837124974410786,0.015646225590600693,0.7565482745897398,1000
