Per-variable RMSE vs OpenCor (ground truth)
================================================================================
variable                  |      generated RMSE  generated NRMSE%  |      iterative RMSE  iterative NRMSE%
----------------------------------------------------------------------------------------------------------
VV_junc2__H_VV_out_beta   |         5.57551e-07         0.0001%  |           0.0395982         8.7987%
VV_junc2__H_VV_out_alpha  |         6.12197e-08         0.0001%  |           0.0131824        19.3476%
VV_junc3__H_VV_out_beta   |         4.18686e-08         0.0002%  |           0.0109874        65.2164%
VV_junc3__H_VV_out_alpha  |         4.18666e-08         0.0002%  |           0.0109874        65.2164%
VV_junc1__H_VV_out_beta   |         4.96881e-08         0.0002%  |          0.00770353        27.6748%
VV_junc1__H_VV_out_alpha  |         4.86616e-08         0.0002%  |          0.00480717        22.5161%
PV4__u_mmHg               |         1.29411e-08         0.0000%  |         0.000814137         1.5635%
V4__u_mmHg                |         1.31445e-08         0.0000%  |         0.000799625         1.5663%
PV6__u_mmHg               |         5.66228e-09         0.0001%  |         0.000460352         7.9318%
PV5__u_mmHg               |         5.65633e-09         0.0001%  |         0.000460352         7.9318%
V6__u_mmHg                |         5.76536e-09         0.0001%  |         0.000449271         7.9276%
V5__u_mmHg                |          5.7542e-09         0.0001%  |         0.000449271         7.9276%
PV3__u_mmHg               |         5.95692e-06         0.0442%  |         0.000413983         3.0712%
V1__u_mmHg                |         7.30814e-09         0.0000%  |         0.000217293         1.1122%
PV1__u_mmHg               |         7.19111e-09         0.0000%  |         0.000202788         1.0707%
PV2__u_mmHg               |         7.07391e-09         0.0000%  |         0.000175399         0.9715%
V2__u_mmHg                |         7.06932e-09         0.0000%  |         0.000163163         0.9184%
VV_junc1__u_mmHg          |         7.85931e-09         0.0001%  |         0.000133227         1.0273%
inlet__u_mmHg             |          3.9235e-09         0.0001%  |         6.66133e-05         1.0273%
V3__u_mmHg                |         2.70355e-09         0.0000%  |         9.89931e-06         0.0135%
V2__v_mm3_s               |         1.93042e-13         0.0001%  |         1.62791e-07        58.0834%
PV2__v_mm3_s              |         1.34468e-12         0.0005%  |         1.62791e-07        58.0833%
PV4__v_mm3_s              |         6.61595e-13         0.0000%  |         1.60957e-07         8.8930%
V4__v_mm3_s               |          4.3964e-13         0.0000%  |         1.60956e-07         8.8930%
PV1__v_mm3_s              |         1.33054e-12         0.0001%  |         1.60903e-07        16.3460%
V1__v_mm3_s               |         2.73945e-13         0.0000%  |         1.60903e-07        16.3461%
V6__v_mm3_s               |         1.00896e-13         0.0001%  |         8.13957e-08        58.0834%
PV6__v_mm3_s              |         8.38896e-13         0.0006%  |         8.13957e-08        58.0834%
V5__v_mm3_s               |         9.87833e-14         0.0001%  |         8.13957e-08        58.0834%
PV5__v_mm3_s              |         8.36131e-13         0.0006%  |         8.13957e-08        58.0834%
V3__v_mm3_s               |         3.49089e-13         0.0000%  |         2.64384e-09         0.1028%
PV3__v_mm3_s              |         7.12742e-13         0.0000%  |         2.64381e-09         0.1028%

  Aggregate NRMSE% (mean across variables)
  --------------------------------------------------
    generated   mean NRMSE =   0.0015%   median =   0.0001%   max =   0.0442%
    iterative   mean NRMSE =  20.3755%   median =   8.3652%   max =  65.2164%
