environment | time (second),inlet | u_mmHg (dimensionless),inlet | v_mm3_s (mm3_per_s),PV1 | u_mmHg (dimensionless),PV1 | v_mm3_s (mm3_per_s),PV2 | u_mmHg (dimensionless),PV2 | v_mm3_s (mm3_per_s),PV3 | u_mmHg (dimensionless),PV3 | v_mm3_s (mm3_per_s),PV4 | u_mmHg (dimensionless),PV4 | v_mm3_s (mm3_per_s),PV5 | u_mmHg (dimensionless),PV5 | v_mm3_s (mm3_per_s),PV6 | u_mmHg (dimensionless),PV6 | v_mm3_s (mm3_per_s),V1 | u_mmHg (dimensionless),V1 | v_mm3_s (mm3_per_s),V2 | u_mmHg (dimensionless),V2 | v_mm3_s (mm3_per_s),V3 | u_mmHg (dimensionless),V3 | v_mm3_s (mm3_per_s),V4 | u_mmHg (dimensionless),V4 | v_mm3_s (mm3_per_s),V5 | u_mmHg (dimensionless),V5 | v_mm3_s (mm3_per_s),V6 | u_mmHg (dimensionless),V6 | v_mm3_s (mm3_per_s),VV_junc1 | H_VV_out_alpha (dimensionless),VV_junc1 | H_VV_out_beta (dimensionless),VV_junc1 | u_mmHg (dimensionless),VV_junc1 | v_mm3_s (mm3_per_s),VV_junc2 | H_VV_out_alpha (dimensionless),VV_junc2 | H_VV_out_beta (dimensionless),VV_junc2 | u_mmHg (dimensionless),VV_junc2 | v_mm3_s (mm3_per_s),VV_junc3 | H_VV_out_alpha (dimensionless),VV_junc3 | H_VV_out_beta (dimensionless),VV_junc3 | u_mmHg (dimensionless),VV_junc3 | v_mm3_s (mm3_per_s)
10,49.9069095200586,1.02869011552265e-05,49.7343334610264,5.14345058148169e-06,49.7343334610148,5.14345052875446e-06,49.5748822941116,2.57172519439261e-06,49.5748822941036,2.5717252015418e-06,49.5748822919818,2.57172512629981e-06,49.5748822919061,2.57172513841546e-06,49.7320061990192,5.14345060667205e-06,49.7320061989984,5.14345054838252e-06,49.5731303931583,2.57172530188039e-06,49.5731303931426,2.57172530852195e-06,49.5731303909745,2.57172526968818e-06,49.5731303908257,2.57172527808228e-06,0.449999976378504,0.449999974467774,49.8138190401139,1.02869011551293e-05,0.450006288179182,0.450006287610236,49.6152133537866,5.1434506194455e-06,0.450006291790916,0.45000629082673,49.6152133511449,5.14345054995829e-06
11,49.9069092601986,1.02869298211625e-05,49.7343327197611,5.14346497875749e-06,49.7343327198162,5.14346492015259e-06,49.5748815754131,2.57173233237182e-06,49.5748815754097,2.57173233738592e-06,49.5748815740819,2.57173230758961e-06,49.5748815740813,2.57173230851497e-06,49.7320054512839,5.14346493791804e-06,49.7320054513923,5.14346488227104e-06,49.5731296781944,2.57173246671523e-06,49.5731296781872,2.57173247214007e-06,49.5731296768193,2.57173244194898e-06,49.5731296768171,2.57173244335962e-06,0.449999999712453,0.449999997588734,49.8138185203978,1.02869298194328e-05,0.450004953935009,0.450004953535978,49.6152127387283,5.14346493876474e-06,0.450004962358863,0.450004962285221,49.6152127370165,5.14346488126012e-06
12,49.9069090377391,1.02869543998719e-05,49.7343320848208,5.14347725524642e-06,49.7343320849274,5.14347721363685e-06,49.5748809276569,2.57173846685681e-06,49.5748809276541,2.57173847048003e-06,49.5748809270371,2.57173844125649e-06,49.5748809271045,2.57173844898123e-06,49.7320048106777,5.14347721732487e-06,49.7320048108873,5.14347718224732e-06,49.5731290330654,2.57173860615506e-06,49.5731290330591,2.57173861072876e-06,49.5731290323707,2.57173858412544e-06,49.573129032502,2.57173859709197e-06,0.44999999098946,0.44999998948162,49.8138180754768,1.02869544002606e-05,0.450003902980303,0.450003902691963,49.6152121804436,5.14347721797549e-06,0.450003905619783,0.450003905005038,49.6152121796214,5.14347718209865e-06
13,49.906908847326,1.02869754143564e-05,49.7343315417244,5.14348761962202e-06,49.7343315417834,5.14348760494906e-06,49.5748803488889,2.57174379487119e-06,49.5748803488847,2.57174379779102e-06,49.5748803487173,2.57174373586245e-06,49.5748803487524,2.57174375560458e-06,49.7320042627934,5.14348771500068e-06,49.7320042629108,5.14348770035039e-06,49.5731284560955,2.57174385568504e-06,49.5731284560866,2.5717438591936e-06,49.5731284558563,2.5717438330337e-06,49.5731284559236,2.57174385789277e-06,0.449999948486661,0.449999947954946,49.8138176946435,1.02869754154208e-05,0.450003090219981,0.450003089987619,49.6152116787914,5.14348772518042e-06,0.450003078241003,0.450003076669903,49.6152116784414,5.14348770100241e-06
14,49.9069086848456,1.02869933658478e-05,49.7343310780045,5.14349668572664e-06,49.7343310779845,5.14349667654897e-06,49.5748798361644,2.57174830914829e-06,49.5748798361607,2.57174831159451e-06,49.5748798360526,2.57174826047129e-06,49.574879836006,2.57174827981182e-06,49.7320037950816,5.14349669120791e-06,49.7320037950441,5.14349667616182e-06,49.5731279444986,2.57174834499724e-06,49.5731279444911,2.57174834746657e-06,49.5731279443883,2.57174832493397e-06,49.5731279442965,2.57174834338995e-06,0.449999975710848,0.44999997537827,49.8138173696868,1.02869933699185e-05,0.450002438221492,0.45000243802682,49.6152112322882,5.14349670016418e-06,0.450002429912551,0.450002428373414,49.6152112319602,5.1434966779143e-06
15,49.9069085463665,1.02870086718316e-05,49.7343306828304,5.14350437760053e-06,49.7343306828044,5.14350435184747e-06,49.5748793847639,2.57175214730749e-06,49.5748793847625,2.57175214895768e-06,49.5748793846223,2.57175215393586e-06,49.5748793845554,2.57175215970251e-06,49.732003396489,5.14350434943983e-06,49.7320033964384,5.14350432097269e-06,49.5731274938474,2.5717521739277e-06,49.5731274938445,2.57175217577603e-06,49.5731274937486,2.57175216250085e-06,49.5731274936178,2.57175216327498e-06,0.449999997946596,0.449999997013366,49.8138170927336,1.02870086680587e-05,0.45000191833532,0.450001918203997,49.6152108375175,5.14350434784592e-06,0.45000192436189,0.450001923902975,49.6152108372243,5.14350432977153e-06
16,49.9069084285226,1.02870216997001e-05,49.7343303463883,5.14351091404792e-06,49.73433034643,5.14351088701514e-06,49.5748789891327,2.57175540403888e-06,49.5748789891331,2.57175540461039e-06,49.5748789890498,2.57175537639082e-06,49.5748789890529,2.57175536720116e-06,49.732003057074,5.14351086179949e-06,49.7320030571551,5.14351083842342e-06,49.5731270986451,2.57175542926987e-06,49.5731270986452,2.57175543094269e-06,49.5731270985364,2.57175542146753e-06,49.5731270985411,2.57175541471312e-06,0.45000000446606,0.450000003486458,49.8138168570457,1.02870217016234e-05,0.4500015150243,0.450001514978818,49.6152104903369,5.14351086413535e-06,0.450001513100805,0.450001512369486,49.6152104900946,5.14351084340978e-06
17,49.9069083282804,1.02870327753266e-05,49.7343300603909,5.14351643017887e-06,49.7343300604628,5.14351641383231e-06,49.5748786440429,2.57175820786305e-06,49.574878644042,2.57175820964068e-06,49.5748786442544,2.57175823508898e-06,49.5748786443153,2.57175823591061e-06,49.7320027685629,5.14351639139108e-06,49.7320027687042,5.14351638144807e-06,49.5731267537615,2.57175819529354e-06,49.5731267537599,2.57175819681304e-06,49.573126753957,2.57175819228219e-06,49.5731267540756,2.57175819593757e-06,0.450000001121864,0.450000000529504,49.8138166565624,1.02870327683795e-05,0.450001192835699,0.450001192694235,49.6152101865276,5.14351638875542e-06,0.450001203019335,0.450001202953949,49.6152101867604,5.14351638320841e-06
18,49.9069082432819,1.0287042172949e-05,49.7343298176564,5.14352112762995e-06,49.7343298176622,5.14352113348355e-06,49.5748783443681,2.57176052868758e-06,49.5748783443657,2.57176052917185e-06,49.5748783446273,2.57176046679886e-06,49.5748783446528,2.57176047917871e-06,49.7320025237149,5.14352108665906e-06,49.7320025237271,5.14352108965206e-06,49.5731264540965,2.57176054214551e-06,49.5731264540914,2.57176054315839e-06,49.5731264543043,2.57176053245642e-06,49.5731264543549,2.57176054782984e-06,0.450000002660376,0.450000002448256,49.8138164865636,1.02870421849111e-05,0.450000946477657,0.450000946439118,49.6152099220704,5.14352108995354e-06,0.450000932026631,0.450000931041437,49.6152099223034,5.14352109048286e-06
19,49.906908171003,1.02870501423115e-05,49.734329611698,5.14352508627932e-06,49.7343296116366,5.14352508408502e-06,49.574878085162,2.57176256666783e-06,49.5748780851597,2.57176256776526e-06,49.574878085317,2.57176263407475e-06,49.574878085261,2.57176265317956e-06,49.7320023160098,5.14352507390094e-06,49.7320023158909,5.14352506688613e-06,49.5731261948464,2.57176253740176e-06,49.5731261948421,2.57176253776745e-06,49.5731261950947,2.57176253227401e-06,49.5731261949874,2.57176254205694e-06,0.449999991725484,0.449999991645968,49.8138163420068,1.02870501404313e-05,0.450000739774905,0.450000739687571,49.6152096928112,5.14352506918567e-06,0.450000758499309,0.450000756978941,49.6152096928823,5.14352505545139e-06
20,49.906908109928,1.02870568976229e-05,49.7343294372693,5.14352849601371e-06,49.7343294372387,5.14352849122431e-06,49.5748778615063,2.57176419213672e-06,49.5748778615072,2.5717641909534e-06,49.5748778613766,2.57176408528151e-06,49.5748778613199,2.57176407515914e-06,49.7320021400128,5.14352845326913e-06,49.7320021399511,5.1435284450633e-06,49.5731259710292,2.57176422584816e-06,49.5731259710304,2.57176422607141e-06,49.5731259708476,2.57176421465976e-06,49.5731259707344,2.57176420875512e-06,0.450000011491419,0.450000011317864,49.8138162198562,1.02870568983299e-05,0.450000589329545,0.450000589235377,49.6152094946622,5.14352845915801e-06,0.450000568678026,0.450000567872484,49.6152094942122,5.14352842900462e-06
