time,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__q_C,VV_junc1__RBC_volume,VV_junc1__q_C,VV_junc1__q_C_d,PV1__H_link_R,PV1__H_link_L,PV1__H_down,PV1__q_C,PV2__H_link_R,PV2__H_link_L,PV2__H_down,PV2__q_C,V1__H_link_R,V1__H_link_L,V1__H_down,V1__q_C,V2__H_link_R,V2__H_link_L,V2__H_down,V2__q_C,VV_junc2__RBC_volume,VV_junc2__q_C,VV_junc2__q_C_d,PV3__H_link_R,PV3__H_link_L,PV3__H_down,PV3__q_C,PV4__H_link_R,PV4__H_link_L,PV4__H_down,PV4__q_C,V3__H_link_R,V3__H_link_L,V3__H_down,V3__RBC_volume,V3__q_C,V4__H_link_R,V4__H_link_L,V4__H_down,V4__RBC_volume,V4__q_C,VV_junc3__RBC_volume,VV_junc3__q_C,VV_junc3__q_C_d,PV5__H_link_R,PV5__H_link_L,PV5__H_down,PV5__q_C,PV6__H_link_R,PV6__H_link_L,PV6__H_down,PV6__q_C,V5__H_link_R,V5__H_link_L,V5__H_down,V5__RBC_volume,V5__q_C,V6__H_link_R,V6__H_link_L,V6__H_down,V6__RBC_volume,V6__q_C,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,V1__u_mmHg,V2__u_mmHg
0.0,0.16554533503524738,0.45,0.449999999005151,3.3304324226885967e-18,5.3129684920468425e-17,2.769272006972341e-18,2.764894767188325e-18,0.4499606157540015,0.4629569747141832,0.4494584270115804,1.6593367921428482e-19,0.44996062342925724,0.4629455867731889,0.44945881826960615,1.659336758114149e-19,0.16877102489882437,0.4498340144397035,0.4500038278206632,2.7654351283631478e-18,0.16877102492005452,0.4498340821456568,0.45000382704704384,2.7654351290434194e-18,4.5091178832564876e-17,2.7580055576032245e-18,2.7558170606915004e-18,0.45001259668412064,0.4616498943276744,0.4497385713914187,1.653905004600027e-19,0.4500125966841176,0.46164989432758646,0.449738571391391,1.6539050046000347e-19,0.45,0.44998862167485104,0.44999874157007946,7.069575833985925e-15,2.2051360761119726e-18,0.45,0.4499886216748402,0.44999874157007974,7.069575833985925e-15,2.2051360761119726e-18,4.509154804731749e-17,2.758005575811102e-18,2.7558170844178176e-18,0.4500126003633829,0.46165405002189513,0.44973848705000746,1.6539042269352074e-19,0.45001259208841843,0.4616484826165441,0.4497385592079264,1.6539042412527714e-19,0.45,0.4499886239845553,0.4499987412086233,7.069575834279371e-15,2.205136094950624e-18,0.45,0.4499886068011827,0.4499987420357697,7.069575834252539e-15,2.2051360949497965e-18,0.4698083506999124,0.4697307414068656,49.90690730491809,49.81381420309694,49.736653006604115,49.73422197556719,49.734220976105,49.73199813493897,49.73199814692719
1.0,1.1806990449802755e-173,0.45,0.4499999986499239,3.3304324414901196e-18,5.0893800880586686e-17,2.7692720613728124e-18,2.764894893823327e-18,0.4500259492019865,0.4499999970536925,0.4500259492021864,1.6593403935297234e-19,0.4500259324952897,0.45000000024831377,0.45002593249508993,1.6593403935321484e-19,1.2037052441014778e-173,0.4500259492020865,0.4499973964321486,2.7654352492908877e-18,1.2037052442529214e-173,0.4500259324951898,0.44999739809464384,2.765435249298971e-18,4.276468261705187e-17,2.758005325310816e-18,2.755816741554859e-18,0.450005152181375,0.44999739643623454,0.4500051521813771,1.6539115135358662e-19,0.45000515218133247,0.44999739643624004,0.45000515218133463,1.6539115135358662e-19,0.45,0.45000515218137604,0.449992627052571,7.069477872021435e-15,2.2051358211078633e-18,0.45,0.4500051521813336,0.44999262705256765,7.069477872021327e-15,2.2051358211078633e-18,4.2764682775007437e-17,2.7580053252054285e-18,2.755816741411937e-18,0.45000508103995546,0.4499973979235973,0.4500050810399842,1.6539115134616478e-19,0.45000507792443517,0.4499973982730565,0.45000507792440275,1.6539115134620898e-19,0.45,0.45000508103996983,0.4499926200491892,7.0694776702303516e-15,2.20513582102432e-18,0.45,0.45000507792441896,0.4499926198999245,7.0694776636413514e-15,2.205135821025498e-18,0.45000000024967113,0.44999999705233473,49.90690758102931,49.81381516205867,49.736655238903175,49.734327752457276,49.73432775252849,49.73200026601137,49.732000266153825
2.0,3.4670073379445666e-188,0.45,0.4499999986499239,3.330432447090487e-18,5.089380088056657e-17,2.7692720707040427e-18,2.7648949070216647e-18,0.4500259492934506,0.44999999613954655,0.4500259492936175,1.6593404015214287e-19,0.4500259324038613,0.4500000011621039,0.4500259324036945,1.6593404015230768e-19,3.534562792918736e-188,0.450025949293534,0.4499973964230022,2.7654352627277273e-18,3.534562793363341e-188,0.4500259324037779,0.44999739810378664,2.7654352627332208e-18,4.2764682616118796e-17,2.7580053446296715e-18,2.7558167628179955e-18,0.4500051521823577,0.4499973964264125,0.4500051521823595,1.6539115263504494e-19,0.4500051521823149,0.44999739642642167,0.4500051521823167,1.6539115263504494e-19,0.45,0.4500051521823586,0.4499946914029034,7.0695073497126815e-15,2.205135838264627e-18,0.45,0.4500051521823158,0.4499946914028937,7.069507349712482e-15,2.205135838264627e-18,4.2764682775818484e-17,2.758005344456729e-18,2.7558167625860584e-18,0.4500050810531967,0.4499973977912511,0.450005081053221,1.653911526222263e-19,0.45000507790948585,0.4499973984224744,0.4500050779094584,1.653911526222623e-19,0.45,0.45000508105320886,0.44999467382849107,7.069506996991139e-15,2.2051358381084012e-18,0.45,0.4500050779094721,0.449994673190458,7.069506983382488e-15,2.2051358381093604e-18,0.45000000116290273,0.44999999613874736,49.906907663273934,49.813815326547925,49.73665547156111,49.73432798718289,49.73432798723129,49.73200050280466,49.73200050290148
3.0,-3.4161868815880956e-202,0.45,0.4499999986499239,3.3304324517678393e-18,5.089380088054978e-17,2.7692720784973625e-18,2.7648949180447413e-18,0.4500259493698429,0.4499999953760354,0.45002594936998236,1.6593404081959946e-19,0.45002593232749866,0.45000000192531814,0.4500259323273593,1.659340408196994e-19,-3.4827520879947438e-202,0.45002594936991264,0.4499973964153629,2.765435273949997e-18,-3.4827520884327083e-202,0.450025932327429,0.449997398111423,2.7654352739533273e-18,4.276468261533947e-17,2.758005360764524e-18,2.755816780576686e-18,0.45000515218317844,0.4499973964182088,0.45000515218317994,1.65391153705302e-19,0.45000515218313536,0.44999739641822123,0.45000515218313686,1.65391153705302e-19,0.45,0.45000515218317927,0.4499964155127204,7.069531968972345e-15,2.2051358525937294e-18,0.45,0.4500051521831361,0.44999641551270525,7.069531968972068e-15,2.2051358525937294e-18,4.276468277649588e-17,2.7580053605351592e-18,2.7558167802704025e-18,0.4500050810643901,0.4499973976793738,0.4500050810644106,1.6539115368797595e-19,0.45000507789686583,0.4499973985486104,0.45000507789684263,1.6539115368800496e-19,0.45,0.45000508106440035,0.44999638911160084,7.069531490225546e-15,2.2051358523767984e-18,0.45,0.45000507789685423,0.44999638806069414,7.069531470687232e-15,2.205135852377573e-18,0.4500000019259332,0.44999999537541996,49.90690773196356,49.81381546392716,49.736655665873926,49.73432818322259,49.73432818325194,49.73200070057128,49.73200070062997
4.0,-3.5215476588151193e-215,0.45,0.4499999986499239,3.3304324556743e-18,5.089380088053575e-17,2.769272085006236e-18,2.7648949272510635e-18,0.45002594943364715,0.4499999947383374,0.4500259494337636,1.659340413770501e-19,0.45002593226371923,0.4500000025627678,0.4500259322636028,1.6593404137709578e-19,-3.5901658447942917e-215,0.4500259494337054,0.44999739640898256,2.765435283322683e-18,-3.59016584524585e-215,0.450025932263661,0.4499973981178008,2.765435283324207e-18,4.2764682614688566e-17,2.7580053742401326e-18,2.755816795408502e-18,0.45000515218386405,0.44999739641135705,0.4500051521838653,1.653911545991661e-19,0.4500051521838207,0.449997396411372,0.4500051521838219,1.653911545991661e-19,0.45,0.4500051521838646,0.44999785545991094,7.06955253055923e-15,2.2051358645612004e-18,0.45,0.4500051521838213,0.44999785545989135,7.069552530558887e-15,2.2051358645612e-18,4.2764682777061655e-17,2.7580053739636422e-18,2.7558167950401235e-18,0.45000508107385223,0.44999739758480045,0.4500050810738696,1.6539115457807536e-19,0.45000507788621213,0.4499973986550927,0.4500050778861926,1.6539115457809854e-19,0.45,0.4500050810738609,0.4499978216885945,7.069551946582979e-15,2.2051358642935686e-18,0.45,0.45000507788620236,0.44999782028892304,7.069551922035735e-15,2.205135864294187e-18,0.4500000025638865,0.44999999473721847,49.90690778933219,49.81381557866442,49.73665582816132,49.73432834695228,49.73432834696569,49.73200086574324,49.7320008657701
5.0,9.445659331076837e-229,0.45,0.4499999986499239,3.3304324589369213e-18,5.089380088052403e-17,2.7692720904423552e-18,2.764894934940054e-18,0.4500259494869376,0.4499999942057213,0.45002594948703484,1.65934041842625e-19,0.4500259322104496,0.45000000309517657,0.45002593221035236,1.6593404184262545e-19,9.629710228997315e-229,0.4500259494869862,0.44999739640365355,2.7654352911506183e-18,9.629710230208804e-229,0.45002593221040094,0.44999739812312783,2.765435291150633e-18,4.276468261414492e-17,2.758005385494772e-18,2.7558168077958263e-18,0.45000515218443665,0.4499973964056342,0.4500051521844377,1.6539115534570885e-19,0.450005152184393,0.44999739640565156,0.450005152184394,1.6539115534570885e-19,0.45,0.45000515218443715,0.44999905807957435,7.069569703250605e-15,2.2051358745562637e-18,0.45,0.4500051521843936,0.4499990580795507,7.069569703250204e-15,2.2051358745562637e-18,4.2764682777534195e-17,2.758005385178922e-18,2.7558168073755846e-18,0.4500050810818508,0.4499973975048549,0.4500050810818655,1.6539115532147382e-19,0.4500050778772184,0.4499973987449848,0.4500050778772019,1.6539115532149207e-19,0.45,0.45000508108185816,0.44999901815424437,7.069569031409345e-15,2.2051358742462873e-18,0.45,0.45000507787721017,0.4499990164599622,7.069569002630925e-15,2.2051358742467737e-18,0.4500000030956057,0.4499999942052919,49.90690783724566,49.81381567449135,49.73665596370146,49.734328483697,49.734328483697126,49.73200100369254,49.732001003692794
6.0,2.1013713749656613e-239,0.45,0.4499999986499239,3.3304324616618152e-18,5.089380088051424e-17,2.769272094982524e-18,2.7648949413617887e-18,0.4500259495314466,0.44999999376087163,0.4500259495315278,1.6593404223146644e-19,0.45002593216595793,0.450000003539853,0.4500259321658768,1.659340422314291e-19,2.1423170913916367e-239,0.45002594953148717,0.4499973963992026,2.765435297688397e-18,2.1423170916612093e-239,0.4500259321659173,0.449997398127577,2.7654352976871514e-18,4.2764682613690854e-17,2.7580053948944855e-18,2.7558168181415426e-18,0.4500051521849149,0.44999739640085445,0.4500051521849157,1.6539115596921067e-19,0.4500051521848711,0.4499973964008738,0.4500051521848719,1.6539115596921067e-19,0.45,0.45000515218491527,0.4500000624874777,7.069584045596293e-15,2.2051358829039976e-18,0.45,0.45000515218487147,0.4500000624874506,7.0695840455958425e-15,2.2051358829039976e-18,4.276468277792888e-17,2.7580053945457613e-18,2.755816817677984e-18,0.45000508108861215,0.4499973974372755,0.4500050810886246,1.653911559423495e-19,0.4500050778696258,0.44999739882087186,0.4500050778696119,1.6539115594236356e-19,0.45,0.45000508108861836,0.45000001742364415,7.0695833003892636e-15,2.205135882558655e-18,0.45,0.4500050778696188,0.4500000154804963,7.069583268036653e-15,2.2051358825590292e-18,0.4500000035399344,0.4499999937607901,49.906907877262306,49.813815754524626,49.73665607690265,49.734328597904224,49.73432859789325,49.7320011189058,49.73200111888385
7.0,4.162416083601508e-252,0.45,0.4499999986499239,3.330432463937607e-18,5.089380088050606e-17,2.7692720987744065e-18,2.7648949467251273e-18,0.45002594956862124,0.4499999933893258,0.4500259495686891,1.6593404255622115e-19,0.4500259321287977,0.4500000039112541,0.4500259321287299,1.6593404255615218e-19,4.2435217418566214e-252,0.45002594956865516,0.44999739639548514,2.7654353031486542e-18,4.2435217423906575e-252,0.4500259321287638,0.449997398131293,2.7654353031463554e-18,4.2764682613311616e-17,2.758005402744988e-18,2.7558168267821337e-18,0.4500051521853143,0.44999739639686237,0.450005152185315,1.6539115648995027e-19,0.4500051521852703,0.4499973963968832,0.4500051521852711,1.6539115648995027e-19,0.45,0.45000515218531467,0.4500009013523468,7.069596024086207e-15,2.2051358898759032e-18,0.45,0.4500051521852707,0.45000090135231696,7.069596024085717e-15,2.2051358898759032e-18,4.276468277825852e-17,2.7580054023688078e-18,2.755816826282396e-18,0.45000508109432763,0.4499973973801496,0.45000508109433807,1.6539115646089574e-19,0.45000507786321614,0.44999739888493634,0.4500050778632044,1.6539115646090629e-19,0.45,0.45000508109433285,0.45000085199795603,7.069595217620191e-15,2.2051358895010217e-18,0.45,0.45000507786321026,0.45000084984458444,7.069595182248363e-15,2.2051358895013025e-18,0.4500000039118928,0.44999999338868696,49.90690791068362,49.81381582136726,49.73665617144661,49.73432869328843,49.73432869326817,49.73200121513023,49.73200121508973
8.0,-1.2560495931568254e-263,0.45,0.4499999986499239,3.3304324658383145e-18,5.089380088049924e-17,2.76927210194133e-18,2.7648949512045075e-18,0.45002594959967007,0.449999993079005,0.45002594959972675,1.659340428274514e-19,0.450025932097761,0.4500000042214543,0.45002593209770436,1.6593404282735608e-19,-1.2805240154655927e-263,0.45002594959969844,0.44999739639238023,2.76543530770898e-18,-1.2805240156266062e-263,0.4500259320977326,0.44999739813439665,2.7654353077058024e-18,4.276468261299487e-17,2.758005409301613e-18,2.755816833998627e-18,0.4500051521856479,0.44999739639352804,0.45000515218564857,1.6539115692486433e-19,0.45000515218560383,0.4499973963935503,0.45000515218560444,1.6539115692486433e-19,0.45,0.45000515218564824,0.45000160195850286,7.069606028324175e-15,2.2051358956987356e-18,0.45,0.4500051521856041,0.45000160195847067,7.069606028323652e-15,2.205135895698736e-18,4.276468277853385e-17,2.7580054089024993e-18,2.7558168334686728e-18,0.4500050810991589,0.44999739733186084,0.45000508109916776,1.6539115689397785e-19,0.45000507785780497,0.4499973989390205,0.45000507785779503,1.6539115689398539e-19,0.45,0.4500050810991633,0.4500015490215848,7.0696051707082474e-15,2.2051358952991837e-18,0.45,0.4500050778578,0.45000154669063097,7.069605132785999e-15,2.2051358952993847e-18,0.45000000422158537,0.44999999307887384,49.9069079385966,49.81381587719321,49.73665625040832,49.73432877295188,49.73432877292389,49.73200129549546,49.73200129543946
9.0,1.3606738747794578e-275,0.45,0.4499999986499239,3.3304324674257565e-18,5.089380088049354e-17,2.7692721045862973e-18,2.764894954945619e-18,0.45002594962560255,0.4499999928198204,0.4500259496256499,1.6593404305397888e-19,0.4500259320718386,0.45000000448053806,0.4500259320717913,1.6593404305386152e-19,1.3871869258702501e-275,0.4500259496256262,0.449997396389787,2.7654353115176954e-18,1.3871869260444828e-275,0.45002593207181496,0.4499973981369889,2.7654353115137834e-18,4.276468261273032e-17,2.7580054147776068e-18,2.7558168400257343e-18,0.45000515218592657,0.4499973963907432,0.45000515218592707,1.65391157288098e-19,0.4500051521858823,0.44999739639076664,0.4500051521858828,1.65391157288098e-19,0.45,0.4500051521859268,0.45000218709331646,7.069614383700258e-15,2.2051359005618778e-18,0.45,0.45000515218588255,0.4500021870932823,7.069614383699707e-15,2.205135900561878e-18,4.2764682778763795e-17,2.7580054143593403e-18,2.7558168394705423e-18,0.45000508110324283,0.4499973972910421,0.4500050811032503,1.6539115725568148e-19,0.4500050778532367,0.4499973989846795,0.45000507785322835,1.6539115725568654e-19,0.45,0.4500050811032466,0.45000213116507043,7.0696134833754004e-15,2.2051359001417215e-18,0.45,0.4500050778532325,0.45000212868410766,7.069613443298736e-15,2.2051359001418556e-18,0.4500000044807549,0.4499999928196035,49.906907961909106,49.813815923818225,49.73665631635596,49.73432883948562,49.73432883945115,49.73200136261528,49.732001362546335
