variable,dataset,rmse,range_truth,nrmse_pct,n_samples
PV1__v_mm3_s,generated,4.223773714328547e-12,6.614805734106823e-10,0.6385332969871216,1000
PV2__v_mm3_s,generated,4.3353366831560825e-12,6.657168790198656e-10,0.6512282953586808,1000
PV3__v_mm3_s,generated,3.392069160024993e-12,3.380054224499841e-10,1.003554657625923,1000
PV4__v_mm3_s,generated,3.39640370657839e-12,3.382207015897306e-10,1.0041974635539326,1000
PV5__v_mm3_s,generated,8.921395138151241e-12,4.924121832202552e-10,1.8117738435729798,1000
PV6__v_mm3_s,generated,8.842938531109618e-12,4.893893455201779e-10,1.8069331937969249,1000
PV7__R_constriction,generated,0.0,0.0,,1000
V10__u_mmHg,generated,3.495414414713322e-09,1.417877980003368e-05,0.024652434581888483,1000
V10__v_mm3_s,generated,3.047316326185781e-14,1.4408081640998332e-10,0.021150048994132666,1000
V11__u_mmHg,generated,3.474817187097672e-09,1.4174846199921376e-05,0.024513967475124673,1000
V11__v_mm3_s,generated,3.5657013006535685e-14,1.4406551936997975e-10,0.02475055319445568,1000
V12__u_mmHg,generated,3.4708391167793774e-09,1.4175786894554676e-05,0.02448427831623672,1000
V12__v_mm3_s,generated,3.251899676805919e-14,1.4404379421980935e-10,0.022575770753744197,1000
V13__u_mmHg,generated,3.4699718270533645e-09,1.417639430201234e-05,0.02447711140879315,1000
V13__v_mm3_s,generated,3.314063583122842e-14,1.4408204910994871e-10,0.02300122467437902,1000
V14__u_mmHg,generated,3.471809685175818e-09,1.4176402501675511e-05,0.024490061457873285,1000
V14__v_mm3_s,generated,3.5479535972682636e-14,1.4414325874013064e-10,0.024614079272792827,1000
V1__u_mmHg,generated,9.295125943044636e-09,2.9806547999555733e-05,0.031184845501676946,1000
V1__v_mm3_s,generated,1.2315076015377784e-13,5.762477752498305e-10,0.021371147177164578,1000
V2__u_mmHg,generated,9.29214411701664e-09,2.9806197105131105e-05,0.03117520857908105,1000
V2__v_mm3_s,generated,1.369025448549811e-13,5.761333668298233e-10,0.023762301011706375,1000
