variable,dataset,rmse,range_truth,nrmse_pct,n_samples
PV1__v_mm3_s,generated,4.298769669195719e-12,3.413515672698401e-07,0.0012593379030240456,1000
PV2__v_mm3_s,generated,4.392429162152978e-12,8.055388541276003e-08,0.005452783735565413,1000
PV3__v_mm3_s,generated,3.749071874675537e-12,6.0207214683056e-07,0.0006226947873957424,1000
PV4__v_mm3_s,generated,3.692579813172969e-12,2.617884466592898e-07,0.0014105205406481352,1000
PV5__v_mm3_s,generated,8.933141232219422e-12,4.0443571796829986e-08,0.02208791369144011,1000
PV6__v_mm3_s,generated,8.854738793054744e-12,4.044058721022005e-08,0.021895673143976987,1000
V10__u_mmHg,generated,9.217273041777617e-09,0.00536236311130267,0.00017188826736387272,1000
V10__v_mm3_s,generated,2.16169846767166e-13,1.3087210404652997e-07,0.00016517641275967372,1000
V11__u_mmHg,generated,6.548988841834386e-09,0.000988351236202334,0.0006626175596236807,1000
V11__v_mm3_s,generated,6.199692703704152e-14,2.0122661564199926e-08,0.00030809506406120636,1000
V12__u_mmHg,generated,6.546514966669587e-09,0.000988351295994505,0.0006623672163127293,1000
V12__v_mm3_s,generated,6.004841055741508e-14,2.0122640871679904e-08,0.0002984121763159114,1000
V13__u_mmHg,generated,6.467461234955956e-09,0.0009883472979979047,0.0006543713174566363,1000
V13__v_mm3_s,generated,5.329246531268058e-14,2.012268838907014e-08,0.0002648377010182545,1000
V14__u_mmHg,generated,6.489710539728848e-09,0.0009883472905016788,0.0006566224850411349,1000
V14__v_mm3_s,generated,5.953369275950384e-14,2.012275084584008e-08,0.00029585265561150187,1000
V1__u_mmHg,generated,1.0799717307684217e-08,0.0072714701249978475,0.00014852178613176126,1000
V1__v_mm3_s,generated,3.9028950427182903e-13,3.413261840174901e-07,0.00011434502319102187,1000
V2__u_mmHg,generated,1.0432962314687291e-08,0.006670350769802269,0.0001564080012391396,1000
V2__v_mm3_s,generated,2.444677405043319e-13,8.049054788386027e-08,0.0003037222965075032,1000
V3__u_mmHg,generated,2.201924349469317e-08,0.02061517202920271,0.00010681086465590246,1000
V3__v_mm3_s,generated,8.138975394624845e-13,6.020662801348398e-07,0.0001351840430725007,1000
V4__u_mmHg,generated,1.9984942055798793e-08,0.01873095783599865,0.00010669471487138867,1000
V4__v_mm3_s,generated,4.522204263862169e-13,2.6174423262841026e-07,0.000172771878044862,1000
V5__u_mmHg,generated,9.428864886812454e-09,0.0028711757396990834,0.00032839734455964223,1000
V5__v_mm3_s,generated,1.204880337509524e-13,4.024550273982033e-08,0.00029938260314421985,1000
V6__u_mmHg,generated,9.424258296387312e-09,0.002871175916297375,0.00032823688172129464,1000
V6__v_mm3_s,generated,1.2737326441590464e-13,4.024536877878018e-08,0.00031649173129968586,1000
V7__u_mmHg,generated,2.3622365868217862e-08,0.05951106194929423,3.969407551212083e-05,1000
V8__u_mmHg,generated,4.427122397730389e-08,0.04360250069780136,0.00010153368102471299,1000
V8__v_mm3_s,generated,9.441357586912972e-13,1.27064414164136e-06,7.430371161761355e-05,1000
V9__u_mmHg,generated,9.05712888059917e-09,0.0053623601098991,0.00016890191436191314,1000
V9__v_mm3_s,generated,2.2977502123522917e-13,1.3087212670641996e-07,0.00017557216117582776,1000
VV_junc1__H_VV_out_alpha,generated,4.328302346165131e-08,0.005688359322241987,0.0007609052278468216,1000
VV_junc1__H_VV_out_beta,generated,4.448459736623388e-08,0.006058539468549007,0.0007342462254667417,1000
VV_junc1__u_mmHg,generated,1.083043637477594e-08,0.004843730701097115,0.00022359699667702054,1000
VV_junc2__H_VV_out_alpha,generated,4.21553676012222e-08,0.020838260988300994,0.00020229791547811524,1000
VV_junc2__H_VV_out_beta,generated,5.919245202717611e-08,0.03386142247992602,0.0001748079309493481,1000
VV_junc3__H_VV_out_alpha,generated,2.509384424183361e-08,0.004680037820693039,0.0005361889199031645,1000
VV_junc3__H_VV_out_beta,generated,2.717958384883593e-08,0.004680034108762998,0.0005807561059853022,1000
VV_junc4__H_VV_out_alpha,generated,2.49115462112609e-07,0.07636451986119208,0.0003262188547317872,1000
VV_junc4__H_VV_out_beta,generated,2.9370669380315645e-07,0.4500689048802178,6.525816172110893e-05,1000
VV_junc5__H_VV_out_alpha,generated,7.033379456502607e-08,0.015115742976260949,0.0004653016042644034,1000
VV_junc5__H_VV_out_beta,generated,7.704355301283156e-08,0.015115742968415002,0.0005096908115850964,1000
VV_junc6__H_VV_out_alpha,generated,3.1157542659689826e-08,0.004190761896465001,0.0007434815775616338,1000
VV_junc6__H_VV_out_beta,generated,3.0921165246680134e-08,0.004190761905094986,0.0007378411359778572,1000
VV_junc7__H_VV_out_alpha,generated,3.420468521269822e-08,0.004190938496911989,0.0008161581287318168,1000
VV_junc7__H_VV_out_beta,generated,3.590642211477809e-08,0.004190934110742006,0.000856764176338264,1000
inlet__u_mmHg,generated,5.400849834540807e-09,0.0024218653389027622,0.00022300372146156103,1000
PV1__v_mm3_s,iterative,4.90013071687498e-08,3.413515672698401e-07,14.355084864752948,1000
PV2__v_mm3_s,iterative,5.0464320551078984e-08,8.055388541276003e-08,62.64666228388439,1000
PV3__v_mm3_s,iterative,1.390692487712987e-07,6.0207214683056e-07,23.098435877392735,1000
PV4__v_mm3_s,iterative,9.010936328106733e-08,2.617884466592898e-07,34.42067991577264,1000
PV5__v_mm3_s,iterative,2.5232127659690218e-08,4.0443571796829986e-08,62.38847495083988,1000
PV6__v_mm3_s,iterative,2.5232134616961673e-08,4.044058721022005e-08,62.3930965339323,1000
V10__u_mmHg,iterative,0.0001515543594349805,0.00536236311130267,2.8262606669723205,1000
V10__v_mm3_s,iterative,4.505455580131688e-08,1.3087210404652997e-07,34.42640135540137,1000
V11__u_mmHg,iterative,7.662427342096521e-05,0.000988351236202334,7.752737145894437,1000
V11__v_mm3_s,iterative,1.261606879099945e-08,2.0122661564199926e-08,62.695825553437736,1000
V12__u_mmHg,iterative,7.662427294846647e-05,0.000988351295994505,7.752736629071257,1000
V12__v_mm3_s,iterative,1.2616069312003073e-08,2.0122640871679904e-08,62.69589261396903,1000
V13__u_mmHg,iterative,7.662401730639451e-05,0.0009883472979979047,7.752742124313164,1000
V13__v_mm3_s,iterative,1.261607329647682e-08,2.012268838907014e-08,62.695764365806006,1000
V14__u_mmHg,iterative,7.662402953412562e-05,0.0009883472905016788,7.752743420304391,1000
V14__v_mm3_s,iterative,1.2616068648944043e-08,2.012275084584008e-08,62.69554667547914,1000
V1__u_mmHg,iterative,9.833427063406973e-05,0.0072714701249978475,1.3523299820213295,1000
V1__v_mm3_s,iterative,4.900134371169723e-08,3.413261840174901e-07,14.356163109123301,1000
V2__u_mmHg,iterative,7.326355191502768e-05,0.006670350769802269,1.0983463155596456,1000
V2__v_mm3_s,iterative,5.046428239608616e-08,8.049054788386027e-08,62.69591116325983,1000
V3__u_mmHg,iterative,0.0002870541189519528,0.02061517202920271,1.3924410552835662,1000
V3__v_mm3_s,iterative,1.3906936262348968e-07,6.020662801348398e-07,23.098679865004808,1000
V4__u_mmHg,iterative,0.00023579653571420645,0.01873095783599865,1.258859999465878,1000
V4__v_mm3_s,iterative,9.010925415345604e-08,2.6174423262841026e-07,34.42645259022047,1000
V5__u_mmHg,iterative,8.375186114633114e-05,0.0028711757396990834,2.916988326012703,1000
V5__v_mm3_s,iterative,2.5232137986346052e-08,4.024550273982033e-08,62.69554675330339,1000
V6__u_mmHg,iterative,8.375139445101701e-05,0.002871175916297375,2.9169718920957495,1000
V6__v_mm3_s,iterative,2.523214503810032e-08,4.024536877878018e-08,62.69577296407891,1000
V7__u_mmHg,iterative,1.3099982535044793e-05,0.05951106194929423,0.0220126848790003,1000
V8__u_mmHg,iterative,0.0006237956265945149,0.04360250069780136,1.4306418590940349,1000
V8__v_mm3_s,iterative,1.3909429198360768e-07,1.27064414164136e-06,10.946754281960645,1000
V9__u_mmHg,iterative,0.00015155436230723291,0.0053623601098991,2.826262302441389,1000
V9__v_mm3_s,iterative,4.505468488847559e-08,1.3087212670641996e-07,34.426494030730396,1000
VV_junc1__H_VV_out_alpha,iterative,0.0013094531977864766,0.005688359322241987,23.01987486385396,1000
VV_junc1__H_VV_out_beta,iterative,0.0014611094386268613,0.006058539468549007,24.116529176903924,1000
VV_junc1__u_mmHg,iterative,5.943458205122371e-05,0.004843730701097115,1.2270414215588337,1000
VV_junc2__H_VV_out_alpha,iterative,0.008658874540314465,0.020838260988300994,41.552769423397315,1000
VV_junc2__H_VV_out_beta,iterative,0.006206070195788328,0.03386142247992602,18.327848451929203,1000
VV_junc3__H_VV_out_alpha,iterative,0.0028468650553778157,0.004680037820693039,60.829958313376196,1000
VV_junc3__H_VV_out_beta,iterative,0.002846865061122113,0.004680034108762998,60.83000668289107,1000
VV_junc4__H_VV_out_alpha,iterative,0.017316509582476294,0.07636451986119208,22.67611924222472,1000
VV_junc4__H_VV_out_beta,iterative,0.019424784021112352,0.4500689048802178,4.315957803457251,1000
VV_junc5__H_VV_out_alpha,iterative,0.008960200759405172,0.015115742976260949,59.2772765022337,1000
VV_junc5__H_VV_out_beta,iterative,0.00896021290962447,0.015115742968415002,59.27735691422659,1000
VV_junc6__H_VV_out_alpha,iterative,0.0028669676909566302,0.004190761896465001,68.41161015076949,1000
VV_junc6__H_VV_out_beta,iterative,0.002866967539706159,0.004190761905094986,68.41160640075012,1000
