Per-variable RMSE vs OpenCor (ground truth)
================================================================================
variable                  |      generated RMSE  generated NRMSE%  |      iterative RMSE  iterative NRMSE%
----------------------------------------------------------------------------------------------------------
VV_junc6__H_VV_out_alpha  |         2.23224e-08         0.0325%  |         4.85689e-06         7.0626%
VV_junc6__H_VV_out_beta   |         2.20332e-08         0.0320%  |         4.85573e-06         7.0616%
VV_junc7__H_VV_out_alpha  |         1.94699e-08         0.0283%  |         4.85553e-06         7.0517%
VV_junc4__H_VV_out_alpha  |         1.89913e-08         0.0275%  |         4.85545e-06         7.0423%
VV_junc5__H_VV_out_beta   |         1.88171e-08         0.0273%  |         4.85518e-06         7.0467%
VV_junc7__H_VV_out_beta   |         1.93151e-08         0.0281%  |         4.85507e-06         7.0513%
VV_junc4__H_VV_out_beta   |         1.87104e-08         0.0271%  |         4.85488e-06         7.0424%
VV_junc5__H_VV_out_alpha  |         1.88012e-08         0.0273%  |         4.85473e-06         7.0457%
VV_junc2__H_VV_out_beta   |         1.82898e-08         0.0396%  |         4.14541e-06         8.9709%
VV_junc3__H_VV_out_alpha  |         2.22126e-08         0.0480%  |         4.14354e-06         8.9516%
VV_junc2__H_VV_out_alpha  |         1.82871e-08         0.0396%  |         4.14347e-06         8.9661%
VV_junc3__H_VV_out_beta   |         2.47956e-08         0.0536%  |         4.14131e-06         8.9582%
V4__u_mmHg                |         7.07911e-09         0.0267%  |         2.30699e-06         8.6941%
V3__u_mmHg                |         7.07793e-09         0.0267%  |         2.30696e-06         8.6941%
V5__u_mmHg                |         6.94216e-09         0.0262%  |         2.30679e-06         8.6926%
V6__u_mmHg                |         6.94396e-09         0.0262%  |          2.3065e-06         8.6926%
V2__u_mmHg                |         9.29214e-09         0.0312%  |         2.10664e-06         7.0678%
V1__u_mmHg                |         9.29513e-09         0.0312%  |         2.10656e-06         7.0674%
VV_junc1__u_d_mmHg        |         9.42836e-09         0.0320%  |         1.93859e-06         6.5764%
V10__u_mmHg               |         3.49541e-09         0.0247%  |         1.49141e-06        10.5186%
V9__u_mmHg                |         3.49702e-09         0.0247%  |         1.49141e-06        10.5186%
V7__u_mmHg                |         3.48774e-09         0.0246%  |         1.49081e-06        10.5140%
V8__u_mmHg                |         3.48442e-09         0.0246%  |          1.4908e-06        10.5141%
V12__u_mmHg               |         3.47084e-09         0.0245%  |         1.49076e-06        10.5163%
V11__u_mmHg               |         3.47482e-09         0.0245%  |         1.49076e-06        10.5170%
V14__u_mmHg               |         3.47181e-09         0.0245%  |         1.49058e-06        10.5145%
V13__u_mmHg               |         3.46997e-09         0.0245%  |         1.49058e-06        10.5145%
VV_junc1__u_mmHg          |         1.03428e-08         0.0496%  |         1.36955e-06         6.5696%
inlet__u_mmHg             |         5.15613e-09         0.0495%  |          6.8477e-07         6.5696%
VV_junc1__H_VV_out_beta   |         4.28192e-08         4.3593%  |         4.28978e-08         4.3673%
VV_junc1__H_VV_out_alpha  |         4.23777e-08         4.3143%  |         4.24508e-08         4.3218%
PV2__v_mm3_s              |         4.33534e-12         0.6512%  |         3.99648e-11         6.0033%
PV1__v_mm3_s              |         4.22377e-12         0.6385%  |         3.98797e-11         6.0289%
V2__v_mm3_s               |         1.36903e-13         0.0238%  |         3.79458e-11         6.5863%
V1__v_mm3_s               |         1.23151e-13         0.0214%  |         3.79197e-11         6.5804%
PV5__v_mm3_s              |          8.9214e-12         1.8118%  |         2.20299e-11         4.4739%
PV6__v_mm3_s              |         8.84294e-12         1.8069%  |         2.19771e-11         4.4907%
PV4__v_mm3_s              |          3.3964e-12         1.0042%  |         1.93421e-11         5.7188%
PV3__v_mm3_s              |         3.39207e-12         1.0036%  |         1.93348e-11         5.7203%
V5__v_mm3_s               |         6.65715e-14         0.0231%  |          1.8974e-11         6.5810%
V6__v_mm3_s               |         6.59498e-14         0.0229%  |         1.89712e-11         6.5836%
V4__v_mm3_s               |         6.21895e-14         0.0216%  |         1.89621e-11         6.5809%
V3__v_mm3_s               |         6.07354e-14         0.0211%  |         1.89574e-11         6.5799%
V14__v_mm3_s              |         3.54795e-14         0.0246%  |         9.48913e-12         6.5831%
V11__v_mm3_s              |          3.5657e-14         0.0248%  |         9.48892e-12         6.5865%
V13__v_mm3_s              |         3.31406e-14         0.0230%  |         9.48605e-12         6.5838%
V9__v_mm3_s               |         3.19405e-14         0.0222%  |         9.48533e-12         6.5824%
V12__v_mm3_s              |          3.2519e-14         0.0226%  |         9.48449e-12         6.5844%
V10__v_mm3_s              |         3.04732e-14         0.0212%  |          9.4781e-12         6.5783%
V8__v_mm3_s               |         2.94038e-14         0.0204%  |          9.4767e-12         6.5804%
PV7__R_constriction       |                   0            nan%  |                   0            nan%

Aggregate NRMSE% (mean across variables)
--------------------------------------------------
  generated   mean NRMSE =   0.3358%   median =   0.0269%   max =   4.3593%
  iterative   mean NRMSE =   7.4340%   median =   7.0423%   max =  10.5186%



