time,H_VV_out_alpha,H_VV_out_beta
0.0,0.4499999996021126,0.4499999996021126
1.0,0.4499999932617416,0.44999999186085127
2.0,0.4499999916131297,0.4499999904000213
3.0,0.449999999104352,0.44999999810776964
4.0,0.4499999995992724,0.4499999987987121
5.0,0.4499999973551918,0.44999999676007485
6.0,0.4499999979878551,0.44999999752573155
7.0,0.4499999686231248,0.44999996826249705
8.0,0.449999976291586,0.4499999760234679
9.0,0.4500000350187748,0.45000003483962553
10.0,0.4499999751858919,0.4499999750230819
11.0,0.4499999838528771,0.4499999837314188
12.0,0.4499999855155925,0.4499999854434059
13.0,0.4499999921076008,0.44999999203462593
14.0,0.44999999314713446,0.44999999309676275
15.0,0.45000000259719247,0.45000000255207256
16.0,0.4499999997749979,0.44999999975205124
17.0,0.45000000533601164,0.45000000531237133
18.0,0.45000000403307006,0.4500000040196518
19.0,0.4500000072516438,0.4500000072368715
20.0,0.45000000628643627,0.4500000062777148
21.0,0.4500000075805527,0.4500000075722316
22.0,0.45000000680820923,0.4500000068039292
23.0,0.4500000069823524,0.45000000697662473
24.0,0.45000000636182913,0.45000000635932247
25.0,0.4500000060791024,0.4500000060771987
26.0,0.45000000544153357,0.45000000543929836
27.0,0.4500000050025029,0.45000000500149195
28.0,0.4500000044893389,0.4500000044876655
29.0,0.4500000041001808,0.45000000409944707
30.0,0.45000000364005827,0.4500000036392779
31.0,0.45000000327836437,0.4500000032778548
32.0,0.4500000028915501,0.4500000028913192
33.0,0.45000000257318573,0.45000000257261674
34.0,0.4500000022602902,0.45000000225966535
35.0,0.45000000199495466,0.4500000019948521
36.0,0.4500000017444792,0.45000000174431254
37.0,0.4500000015312682,0.450000001531218
38.0,0.4500000013342046,0.4500000013334673
39.0,0.45000000116560057,0.45000000116539574
40.0,0.45000000101296433,0.45000000101217874
41.0,0.4500000008815667,0.450000000881462
42.0,0.4500000007646378,0.450000000764136
43.0,0.45000000066328244,0.4500000006630341
44.0,0.4500000005742798,0.4500000005737854
45.0,0.450000001817438,0.45000000181733985
