time,inlet__H_link_R,inlet__H_link_L,inlet__H_down,inlet__q_C,VV_junc1__RBC_volume,VV_junc1__q_C,VV_junc1__q_C_d,PV1__H_link_R,PV1__H_link_L,PV1__H_down,PV1__q_C,PV2__H_link_R,PV2__H_link_L,PV2__H_down,PV2__q_C,V1__H_link_R,V1__H_link_L,V1__H_down,V1__q_C,V2__H_link_R,V2__H_link_L,V2__H_down,V2__q_C,VV_junc2__RBC_volume,VV_junc2__q_C,VV_junc2__q_C_d,PV3__H_link_R,PV3__H_link_L,PV3__H_down,PV3__q_C,PV4__H_link_R,PV4__H_link_L,PV4__H_down,PV4__q_C,V3__H_link_R,V3__H_link_L,V3__H_down,V3__RBC_volume,V3__q_C,V4__H_link_R,V4__H_link_L,V4__H_down,V4__RBC_volume,V4__q_C,VV_junc3__RBC_volume,VV_junc3__q_C,VV_junc3__q_C_d,PV5__H_link_R,PV5__H_link_L,PV5__H_down,PV5__q_C,PV6__H_link_R,PV6__H_link_L,PV6__H_down,PV6__q_C,V5__H_link_R,V5__H_link_L,V5__H_down,V5__RBC_volume,V5__q_C,V6__H_link_R,V6__H_link_L,V6__H_down,V6__RBC_volume,V6__q_C,VV_junc1__H_VV_out_alpha,VV_junc1__H_VV_out_beta,inlet__u_mmHg,VV_junc1__u_mmHg,VV_junc1__u_d_mmHg,PV1__u_mmHg,PV2__u_mmHg,V1__u_mmHg,V2__u_mmHg
0.0,0.16554533503524738,0.45,0.449999999005151,3.3304324226885967e-18,5.3129684920468425e-17,2.769272006972341e-18,2.764894767188325e-18,0.4499606157540015,0.4629569747141832,0.4494584270115804,1.6593367921428482e-19,0.44996062342925724,0.4629455867731889,0.44945881826960615,1.659336758114149e-19,0.16877102489882437,0.4498340144397035,0.4500038278206632,2.7654351283631478e-18,0.16877102492005452,0.4498340821456568,0.45000382704704384,2.7654351290434194e-18,4.5091178832564876e-17,2.7580055576032245e-18,2.7558170606915004e-18,0.45001259668412064,0.4616498943276744,0.4497385713914187,1.653905004600027e-19,0.4500125966841176,0.46164989432758646,0.449738571391391,1.6539050046000347e-19,0.45,0.44998862167485104,0.44999874157007946,7.069575833985925e-15,2.2051360761119726e-18,0.45,0.4499886216748402,0.44999874157007974,7.069575833985925e-15,2.2051360761119726e-18,4.509154804731749e-17,2.758005575811102e-18,2.7558170844178176e-18,0.4500126003633829,0.46165405002189513,0.44973848705000746,1.6539042269352074e-19,0.45001259208841843,0.4616484826165441,0.4497385592079264,1.6539042412527714e-19,0.45,0.4499886239845553,0.4499987412086233,7.069575834279371e-15,2.205136094950624e-18,0.45,0.4499886068011827,0.4499987420357697,7.069575834252539e-15,2.2051360949497965e-18,0.4698083506999124,0.4697307414068656,49.90690730491809,49.81381420309694,49.736653006604115,49.73422197556719,49.734220976105,49.73199813493897,49.73199814692719
1.0,1.783922663033312e-14,0.45,0.44999999864992707,3.3304324414901184e-18,5.089380088058023e-17,2.76927206137281e-18,2.764894893823323e-18,0.45002594920203665,0.4499999970531965,0.4500259492022363,1.6593403935297212e-19,0.45002593249525324,0.45000000024868514,0.4500259324950531,1.659340393532146e-19,3.618259381589398e-14,0.4500259492021365,0.44999739643214987,2.765435249290885e-18,3.3605413433832875e-14,0.45002593249515316,0.4499973980946533,2.7654352492989673e-18,4.2764682614789374e-17,2.7580053253108208e-18,2.755816741554866e-18,0.45000515218434084,0.449997396411067,0.45000515218403536,1.6539115135358703e-19,0.45000515218429776,0.4499973964110959,0.4500051521839912,1.6539115135358705e-19,0.45,0.4500051521841838,0.4499926270530634,7.069477872032713e-15,2.205135821107869e-18,0.45,0.45000515218414017,0.449992627053493,7.069477872038785e-15,2.2051358211078694e-18,4.276468277273034e-17,2.758005325205413e-18,2.755816741411918e-18,0.45000508104299564,0.4499973978976769,0.45000508104271747,1.6539115134616363e-19,0.4500050779273567,0.4499973982483584,0.45000507792701494,1.6539115134620785e-19,0.45,0.4500050810428522,0.4499926200468713,7.069477670201604e-15,2.2051358210243045e-18,0.45,0.4500050779271816,0.44999261989735234,7.069477663608803e-15,2.205135821025483e-18,0.45000000024961406,0.44999999705227767,49.90690758102929,49.81381516205863,49.73665523890311,49.73432775245721,49.73432775252843,49.732000266011326,49.732000266153754
2.0,-3.124381104180688e-14,0.45,0.4499999986499168,3.330432447090428e-18,5.08938008805711e-17,2.769272070703944e-18,2.7648949070215253e-18,0.45002594929345935,0.4499999961394613,0.4500259492936259,1.6593404015213442e-19,0.4500259324038432,0.45000000116228356,0.4500259324036762,1.6593404015229923e-19,-6.774597113758836e-14,0.4500259492935426,0.44999739642298836,2.7654352627275855e-18,-6.492300140638547e-14,0.45002593240375965,0.44999739810377726,2.7654352627330783e-18,4.276468261613483e-17,2.758005344629476e-18,2.755816762817782e-18,0.4500051521822567,0.44999739642759307,0.45000515218224674,1.6539115263503206e-19,0.4500051521824142,0.44999739642552805,0.45000515218240894,1.6539115263503206e-19,0.45,0.45000515218225157,0.44999469138224085,7.069507349417488e-15,2.2051358382644547e-18,0.45,0.45000515218241144,0.4499946913825565,7.0695073494222206e-15,2.205135838264455e-18,4.276468277583346e-17,2.7580053444565177e-18,2.7558167625858242e-18,0.45000508105323067,0.44999739779103914,0.45000508105324616,1.653911526222122e-19,0.4500050779094519,0.44999739842295106,0.45000507790941485,1.6539115262224817e-19,0.45,0.4500050810532383,0.44999467380557806,7.069506996664004e-15,2.2051358381082117e-18,0.45,0.4500050779094333,0.44999467316732744,7.069506983052147e-15,2.2051358381091712e-18,0.4500000011629428,0.44999999613878744,49.90690766327307,49.813815326546184,49.73665547155865,49.7343279871804,49.73432798722881,49.732000502802165,49.73200050289896
3.0,2.8402096729427025e-16,0.45,0.4499999986498392,3.3304324517676702e-18,5.089380088023004e-17,2.76927207849708e-18,2.7648949180443423e-18,0.45002594937078555,0.4499999953665712,0.45002594937092755,1.6593404081957524e-19,0.45002593232730254,0.4500000019272886,0.4500259323271626,1.659340408196753e-19,6.158428057969105e-16,0.45002594937085655,0.449997396415304,2.7654352739495887e-18,5.901806804348812e-16,0.4500259323272326,0.44999739811146994,2.7654352739529233e-18,4.276468261544935e-17,2.7580053607639763e-18,2.75581678057609e-18,0.4500051521829861,0.4499973964201572,0.45000515218298603,1.6539115370526608e-19,0.4500051521830985,0.4499973964185805,0.45000515218310067,1.653911537052661e-19,0.45,0.45000515218298615,0.4499964154555701,7.069531968156e-15,2.2051358525932483e-18,0.45,0.45000515218309967,0.44999641545584956,7.06953196816015e-15,2.205135852593249e-18,4.276468277655915e-17,2.7580053605345976e-18,2.755816780269789e-18,0.450005081064348,0.44999739767979624,0.4500050810643685,1.6539115368793894e-19,0.4500050778967725,0.4499973985495479,0.4500050778967491,1.65391153687968e-19,0.45,0.45000508106435827,0.44999638905278944,7.0695314893856935e-15,2.205135852376304e-18,0.45,0.4500050778967608,0.4499963880016973,7.069531469844658e-15,2.2051358523770785e-18,0.4500000019214671,0.4499999953742318,49.90690773196108,49.81381546392219,49.736655665866884,49.734328183215474,49.73432818324486,49.73200070056408,49.73200070062284
4.0,-1.127669427674706e-16,0.45,0.4499999986488682,3.3304324556744133e-18,5.0893800876603814e-17,2.7692720850064233e-18,2.7648949272513297e-18,0.4500259494418494,0.4499999946560934,0.45002594944198077,1.6593404137706564e-19,0.4500259322652225,0.4500000025473636,0.45002593226513093,1.6593404137711253e-19,-2.4451261851722847e-16,0.4500259494419154,0.44999739640890396,2.765435283322934e-18,-2.343237953151256e-16,0.4500259322651769,0.44999739811834794,2.7654352833244972e-18,4.276468261635997e-17,2.758005374240651e-18,2.7558167954090754e-18,0.4500051521814465,0.44999739643562786,0.4500051521814414,1.6539115459920057e-19,0.45000515218274484,0.44999739642222,0.4500051521827401,1.6539115459920071e-19,0.45,0.45000515218144393,0.449997855516151,7.069552531358843e-15,2.205135864561662e-18,0.45,0.45000515218274245,0.44999785551645416,7.06955253136503e-15,2.2051358645616638e-18,4.2764682778616574e-17,2.7580053739641183e-18,2.7558167950406604e-18,0.45000508107216464,0.4499973976017874,0.4500050810721746,1.6539115457810776e-19,0.45000507788460165,0.44999739867130534,0.4500050778845749,1.6539115457813094e-19,0.45,0.45000508107216963,0.4499978217429974,7.069551947357405e-15,2.205135864294003e-18,0.45,0.4500050778845883,0.449997820343146,7.069551922807703e-15,2.2051358642946217e-18,0.4500000025146436,0.4499999947169294,49.90690778933385,49.81381557866772,49.73665582816601,49.73432834695684,49.734328346970614,49.732000865747665,49.73200086577521
5.0,6.645019541601654e-17,0.45,0.44999999864432777,3.3304324589381497e-18,5.089380085970105e-17,2.7692720904444025e-18,2.7648949349429527e-18,0.4500259495000506,0.44999999407410984,0.45002594950018093,1.6593404184280008e-19,0.45002593224875814,0.45000000271012974,0.45002593224879245,1.6593404184280136e-19,1.4408399220085826e-16,0.45002594950011726,0.4499973964071445,2.7654352911535546e-18,1.3808002261391217e-16,0.4500259322487766,0.4499973981234623,2.765435291153598e-18,4.2764682621478076e-17,2.7580053854972074e-18,2.7558168077978813e-18,0.45000515217685133,0.4499973964818026,0.4500051521768314,1.653911553458313e-19,0.45000515217663606,0.4499973964835854,0.45000515217661285,1.6539115534583125e-19,0.45,0.45000515217684134,0.44999905821376934,7.069569705155976e-15,2.2051358745578885e-18,0.45,0.45000515217662446,0.4499990582142187,7.069569705162084e-15,2.205135874557888e-18,4.276468278657711e-17,2.758005385181198e-18,2.755816807377634e-18,0.45000508107222403,0.4499973976015707,0.45000508107220893,1.653911553215962e-19,0.45000507786759947,0.4499973988416254,0.4500050778675529,1.6539115532161446e-19,0.45,0.4500050810722165,0.44999901828665034,7.069569033286251e-15,2.205135874247911e-18,0.45,0.4500050778675762,0.4499990165922118,7.069569004505607e-15,2.2051358742483973e-18,0.45000000290165676,0.44999999403100976,49.9069078372637,49.81381567452744,49.736655963752554,49.73432848374842,49.7343284837488,49.73200100374429,49.73200100374505
6.0,-5.186895042118817e-27,0.45,0.4499999986499278,3.3304324616618e-18,5.0893800880539885e-17,2.7692720949824985e-18,2.7648949413617525e-18,0.45002594953144637,0.44999999376086414,0.4500259495315283,1.6593404223146425e-19,0.45002593216590725,0.4500000035403317,0.4500259321658279,1.659340422314269e-19,-1.124675146848436e-26,0.4500259495314874,0.4499973963992083,2.7654352976883605e-18,-1.077809989767457e-26,0.4500259321658676,0.44999739812758666,2.7654352976871148e-18,4.276468261369815e-17,2.7580053948944378e-18,2.755816818141491e-18,0.4500051521848962,0.44999739640104647,0.4500051521848966,1.6539115596920759e-19,0.4500051521848776,0.4499973964008272,0.45000515218487724,1.6539115596920759e-19,0.45,0.45000515218489634,0.45000006248248464,7.069584045524969e-15,2.2051358829039563e-18,0.45,0.45000515218487747,0.4500000624828351,7.069584045529945e-15,2.2051358829039563e-18,4.2764682777928287e-17,2.758005394545704e-18,2.75581681767792e-18,0.4500050810886362,0.4499973974370695,0.4500050810886463,1.6539115594234565e-19,0.450005077869609,0.44999739882105155,0.45000507786959426,1.6539115594235971e-19,0.45,0.45000508108864123,0.45000001741735296,7.069583300299463e-15,2.2051358825586032e-18,0.45,0.45000507786960164,0.45000001547410357,7.069583267945344e-15,2.2051358825589776e-18,0.4500000035401612,0.44999999376101685,49.90690787726208,49.813815754524185,49.736656076902,49.73432859790358,49.734328597892606,49.73200111890516,49.73200111888321
7.0,1.2366337816794215e-29,0.45,0.4499999986499303,3.33043246393237e-18,5.089380088053228e-17,2.76927209876568e-18,2.764894946712785e-18,0.45002594956949254,0.4499999933805926,0.4500259495695617,1.6593404255547382e-19,0.45002593212791336,0.45000000392012446,0.4500259321278438,1.659340425554049e-19,2.681394685433872e-29,0.45002594956952713,0.4499973963954817,2.7654353031360894e-18,2.569661102790796e-29,0.45002593212787856,0.44999739813136425,2.7654353031337926e-18,4.2764682613498156e-17,2.7580054027269268e-18,2.7558168267622546e-18,0.45000515218515635,0.4499973963984461,0.4500051521851568,1.6539115648875227e-19,0.4500051521850312,0.4499973963992788,0.4500051521850316,1.6539115648875227e-19,0.45,0.4500051521851566,0.45000089942247185,7.069595996528518e-15,2.2051358898598637e-18,0.45,0.4500051521850314,0.45000089942274535,7.069595996532244e-15,2.2051358898598637e-18,4.276468277822739e-17,2.758005402350801e-18,2.7558168262625906e-18,0.45000508109429516,0.4499973973804738,0.45000508109430565,1.6539115645970217e-19,0.4500050778633132,0.4499973988839608,0.4500050778633017,1.6539115645971267e-19,0.45,0.45000508109430043,0.45000085007687873,7.069595190188308e-15,2.205135889485042e-18,0.45,0.4500050778633074,0.45000084792383477,7.069595154821345e-15,2.2051358894853227e-18,0.45000000391130535,0.4499999933897381,49.90690791060671,49.813815821213424,49.73665617122904,49.734328693068925,49.73432869304869,49.73200121490881,49.73200121486833
8.0,-3.878418448420825e-29,0.45,0.44999999864990425,3.3304324658371605e-18,5.089380088042221e-17,2.7692721019394078e-18,2.7648949512017874e-18,0.4500259496011951,0.44999999306369887,0.45002594960125547,1.659340428272867e-19,0.45002593209640884,0.4500000042349793,0.45002593209635194,1.6593404282719138e-19,-8.409579917127233e-29,0.4500259496012253,0.4499973963923349,2.765435307706211e-18,-8.05915314214691e-29,0.45002593209638037,0.44999739813449724,2.765435307703033e-18,4.276468261323375e-17,2.7580054092976327e-18,2.7558168339942475e-18,0.45000515218543446,0.44999739639566233,0.4500051521854351,1.6539115692460033e-19,0.4500051521853052,0.4499973963965346,0.4500051521853059,1.6539115692460033e-19,0.45,0.4500051521854348,0.4500016015333778,7.069606022253338e-15,2.205135895695202e-18,0.45,0.4500051521853055,0.45000160153359064,7.069606022256192e-15,2.205135895695202e-18,4.2764682778464533e-17,2.7580054088985277e-18,2.7558168334643036e-18,0.4500050810991595,0.44999739733185184,0.45000508109916854,1.6539115689371455e-19,0.45000507785795096,0.4499973989375618,0.4500050778579409,1.6539115689372206e-19,0.45,0.45000508109916404,0.45000154859773905,7.069605164655984e-15,2.2051358952956585e-18,0.45,0.4500050778579459,0.450001546266822,7.069605126734469e-15,2.20513589529586e-18,0.45000000422090425,0.4499999930781927,49.90690793857966,49.81381587715933,49.73665625036037,49.73432877290351,49.734328772875514,49.732001295446665,49.73200129539065
9.0,-2.1498221187476775e-29,0.45,0.4499999986497334,3.330432467429729e-18,5.089380087978895e-17,2.7692721045929163e-18,2.7648949549549803e-18,0.45002594962766446,0.4499999927991481,0.45002594962771536,1.659340430545457e-19,0.4500259320714288,0.45000000448458394,0.45002593207138497,1.6593404305442827e-19,-4.6614621797601384e-29,0.45002594962769,0.4499973963897748,2.765435311527226e-18,-4.4672192836478903e-29,0.45002593207140695,0.44999739813710715,2.765435311523311e-18,4.2764682613158145e-17,2.7580054147913106e-18,2.755816840040818e-18,0.45000515218556864,0.4499973963943297,0.45000515218556864,1.6539115728900696e-19,0.450005152185344,0.44999739639616115,0.4500051521853437,1.6539115728900696e-19,0.45,0.45000515218556864,0.4500021885577229,7.069614404610595e-15,2.205135900574048e-18,0.45,0.45000515218534387,0.45000218855788976,7.069614404612656e-15,2.205135900574048e-18,4.2764682778938133e-17,2.7580054143729912e-18,2.755816839485556e-18,0.45000508110303983,0.44999739729308263,0.45000508110304666,1.653911572565863e-19,0.45000507785307675,0.44999739898629426,0.4500050778530673,1.653911572565913e-19,0.45,0.4500050811030432,0.45000213262124544,7.06961350416842e-15,2.2051359001538352e-18,0.45,0.45000507785307203,0.45000213013993845,7.069613464086899e-15,2.205135900153969e-18,0.4500000044753444,0.4499999928125541,49.90690796196744,49.8138159239349,49.736656316520985,49.7343288396521,49.73432883961761,49.73200136278323,49.73200136271424
