name,BC_type,vessel_type,inp_vessels,out_vessels
inlet,pp_H1,capillary_H_D,,VV_junc1
VV_junc1,vv_junction,capillary_H_D,inlet,V1 V2
V1,pp_H3L_H1R,capillary_H_D,VV_junc1,VV_junc2
V2,pp_H4L_H1R,capillary_H_D,VV_junc1,VV_junc3
VV_junc2,vv_junction,capillary_H_D,V1,V3 V4
VV_junc3,vv_junction,capillary_H_D,V2,V5 V6
V3,pp_H3L_H1R,capillary_H_D,VV_junc2,
V4,pp_H4L_H1R,capillary_H_D,VV_junc2,
V5,pp_H3L_H1R,capillary_H_D,VV_junc3,
V6,pp_H4L_H1R,capillary_H_D,VV_junc3,
